"chromosome" "chr_num" "start_pos" "end_pos" "start_MB" "outlier_MDS1" "outlier_MDS2" "outlier_MDS3" "outlier_MDS4" "outlier_MDS5" "PCA_outlier" "PCAwindowID" "thisChromRow" "PCAwindowID_plot"
"40" "NC_044048.1" 1 10135848 10429119 10.14 FALSE TRUE FALSE FALSE FALSE TRUE 5 40 5
"41" "NC_044048.1" 1 10429120 10613930 10.43 FALSE FALSE FALSE FALSE FALSE FALSE NA 41 NA
"42" "NC_044048.1" 1 10613931 10848897 10.61 FALSE FALSE FALSE FALSE FALSE FALSE NA 42 NA
"43" "NC_044048.1" 1 10848898 11064525 10.85 FALSE FALSE FALSE FALSE FALSE FALSE NA 43 NA
"44" "NC_044048.1" 1 11064526 11503673 11.06 TRUE FALSE FALSE FALSE FALSE TRUE 6 44 NA
"45" "NC_044048.1" 1 11503674 11685113 11.5 TRUE FALSE FALSE FALSE FALSE TRUE 6 45 NA
"46" "NC_044048.1" 1 11685114 11850874 11.69 TRUE FALSE FALSE FALSE FALSE TRUE 6 46 NA
"47" "NC_044048.1" 1 11850875 12033044 11.85 TRUE FALSE FALSE FALSE FALSE TRUE 6 47 NA
"48" "NC_044048.1" 1 12033045 12202229 12.03 TRUE FALSE FALSE FALSE FALSE TRUE 6 48 NA
"49" "NC_044048.1" 1 12202230 12424033 12.2 TRUE FALSE FALSE FALSE FALSE TRUE 6 49 NA
"50" "NC_044048.1" 1 12424034 12628626 12.42 TRUE FALSE FALSE FALSE FALSE TRUE 6 50 NA
"51" "NC_044048.1" 1 12628627 12808563 12.63 TRUE FALSE FALSE FALSE FALSE TRUE 6 51 NA
"52" "NC_044048.1" 1 12808564 13017712 12.81 TRUE FALSE FALSE FALSE FALSE TRUE 6 52 NA
"53" "NC_044048.1" 1 13017713 13222608 13.02 TRUE FALSE FALSE FALSE FALSE TRUE 6 53 NA
"54" "NC_044048.1" 1 13222609 13426948 13.22 TRUE FALSE FALSE FALSE FALSE TRUE 6 54 NA
"55" "NC_044048.1" 1 13426949 13591151 13.43 TRUE FALSE FALSE FALSE FALSE TRUE 6 55 NA
"56" "NC_044048.1" 1 13591152 13760267 13.59 TRUE FALSE FALSE FALSE FALSE TRUE 6 56 NA
"57" "NC_044048.1" 1 13760268 14003250 13.76 TRUE FALSE FALSE FALSE FALSE TRUE 6 57 NA
"58" "NC_044048.1" 1 14003251 14189585 14 TRUE FALSE FALSE FALSE FALSE TRUE 6 58 NA
"59" "NC_044048.1" 1 14189586 14333966 14.19 TRUE FALSE FALSE FALSE FALSE TRUE 6 59 NA
"60" "NC_044048.1" 1 14333967 14541186 14.33 TRUE FALSE FALSE FALSE FALSE TRUE 6 60 NA
"61" "NC_044048.1" 1 14541187 14737039 14.54 TRUE FALSE FALSE FALSE FALSE TRUE 6 61 NA
"62" "NC_044048.1" 1 14737040 14905633 14.74 TRUE FALSE FALSE FALSE FALSE TRUE 6 62 NA
"63" "NC_044048.1" 1 14905634 15097135 14.91 TRUE FALSE FALSE FALSE FALSE TRUE 6 63 NA
"64" "NC_044048.1" 1 15097136 15245549 15.1 TRUE FALSE FALSE FALSE FALSE TRUE 6 64 NA
"65" "NC_044048.1" 1 15245550 15412455 15.25 TRUE FALSE FALSE FALSE FALSE TRUE 6 65 NA
"66" "NC_044048.1" 1 15412456 15649433 15.41 TRUE FALSE FALSE FALSE FALSE TRUE 6 66 NA
"67" "NC_044048.1" 1 15649434 15776013 15.65 TRUE FALSE FALSE FALSE FALSE TRUE 6 67 NA
"68" "NC_044048.1" 1 15776014 15919363 15.78 TRUE FALSE FALSE FALSE FALSE TRUE 6 68 NA
"69" "NC_044048.1" 1 15919364 16108691 15.92 TRUE FALSE FALSE FALSE FALSE TRUE 6 69 NA
"70" "NC_044048.1" 1 16108692 16272890 16.11 TRUE FALSE FALSE FALSE FALSE TRUE 6 70 NA
"71" "NC_044048.1" 1 16272891 16454299 16.27 TRUE FALSE FALSE FALSE FALSE TRUE 6 71 NA
"72" "NC_044048.1" 1 16454300 16612172 16.45 TRUE FALSE FALSE FALSE FALSE TRUE 6 72 NA
"73" "NC_044048.1" 1 16612173 16809994 16.61 TRUE FALSE FALSE FALSE FALSE TRUE 6 73 NA
"74" "NC_044048.1" 1 16809995 17034316 16.81 TRUE FALSE FALSE FALSE FALSE TRUE 6 74 NA
"75" "NC_044048.1" 1 17034317 17191129 17.03 TRUE FALSE FALSE FALSE FALSE TRUE 6 75 NA
"76" "NC_044048.1" 1 17191130 17393171 17.19 TRUE FALSE FALSE FALSE FALSE TRUE 6 76 NA
"77" "NC_044048.1" 1 17393172 17563449 17.39 TRUE FALSE FALSE FALSE FALSE TRUE 6 77 NA
"78" "NC_044048.1" 1 17563450 17730372 17.56 TRUE FALSE FALSE FALSE FALSE TRUE 6 78 NA
"79" "NC_044048.1" 1 17730373 17901646 17.73 TRUE FALSE FALSE FALSE FALSE TRUE 6 79 NA
"80" "NC_044048.1" 1 17901647 18099604 17.9 TRUE FALSE FALSE FALSE FALSE TRUE 6 80 NA
"81" "NC_044048.1" 1 18099605 18279856 18.1 TRUE FALSE FALSE FALSE FALSE TRUE 6 81 NA
"82" "NC_044048.1" 1 18279857 18435379 18.28 TRUE FALSE FALSE FALSE FALSE TRUE 6 82 NA
"83" "NC_044048.1" 1 18435380 18607308 18.44 TRUE FALSE FALSE FALSE FALSE TRUE 6 83 NA
"84" "NC_044048.1" 1 18607309 18761939 18.61 TRUE FALSE FALSE FALSE FALSE TRUE 6 84 NA
"85" "NC_044048.1" 1 18761940 18930307 18.76 TRUE FALSE FALSE FALSE FALSE TRUE 6 85 NA
"86" "NC_044048.1" 1 18930308 19120426 18.93 TRUE FALSE FALSE FALSE FALSE TRUE 6 86 NA
"87" "NC_044048.1" 1 19120427 19254993 19.12 TRUE FALSE FALSE FALSE FALSE TRUE 6 87 NA
"88" "NC_044048.1" 1 19254994 19455431 19.25 TRUE FALSE FALSE FALSE FALSE TRUE 6 88 NA
"89" "NC_044048.1" 1 19455432 19693119 19.46 TRUE FALSE FALSE FALSE FALSE TRUE 6 89 NA
"90" "NC_044048.1" 1 19693120 19844994 19.69 TRUE FALSE FALSE FALSE FALSE TRUE 6 90 NA
"91" "NC_044048.1" 1 19844995 19971211 19.84 TRUE FALSE FALSE FALSE FALSE TRUE 6 91 6
"92" "NC_044048.1" 1 19971212 20214115 19.97 TRUE FALSE FALSE FALSE FALSE TRUE 6 92 NA
"93" "NC_044048.1" 1 20214116 20354878 20.21 TRUE FALSE FALSE FALSE FALSE TRUE 6 93 NA
"94" "NC_044048.1" 1 20354879 20548226 20.35 TRUE FALSE FALSE FALSE FALSE TRUE 6 94 NA
"95" "NC_044048.1" 1 20548227 20738182 20.55 TRUE FALSE FALSE FALSE FALSE TRUE 6 95 NA
"96" "NC_044048.1" 1 20738183 20949070 20.74 TRUE FALSE FALSE FALSE FALSE TRUE 6 96 NA
"97" "NC_044048.1" 1 20949071 21139190 20.95 TRUE FALSE FALSE FALSE FALSE TRUE 6 97 NA
"98" "NC_044048.1" 1 21139191 21267668 21.14 TRUE FALSE FALSE FALSE FALSE TRUE 6 98 NA
"99" "NC_044048.1" 1 21267669 21504096 21.27 TRUE FALSE FALSE FALSE FALSE TRUE 6 99 NA
"100" "NC_044048.1" 1 21504097 21673175 21.5 TRUE FALSE FALSE FALSE FALSE TRUE 6 100 NA
"101" "NC_044048.1" 1 21673176 21965328 21.67 TRUE FALSE FALSE FALSE FALSE TRUE 6 101 NA
"102" "NC_044048.1" 1 21965329 22120733 21.97 TRUE FALSE FALSE FALSE FALSE TRUE 6 102 NA
"103" "NC_044048.1" 1 22120734 22289972 22.12 TRUE FALSE FALSE FALSE FALSE TRUE 6 103 NA
"104" "NC_044048.1" 1 22289973 22437065 22.29 TRUE FALSE FALSE FALSE FALSE TRUE 6 104 NA
"105" "NC_044048.1" 1 22437066 22623609 22.44 TRUE FALSE FALSE FALSE FALSE TRUE 6 105 NA
"106" "NC_044048.1" 1 22623610 22809927 22.62 TRUE FALSE FALSE FALSE FALSE TRUE 6 106 NA
"107" "NC_044048.1" 1 22809928 23005390 22.81 TRUE FALSE FALSE FALSE FALSE TRUE 6 107 NA
"108" "NC_044048.1" 1 23005391 23128358 23.01 TRUE FALSE FALSE FALSE FALSE TRUE 6 108 NA
"109" "NC_044048.1" 1 23128359 23306605 23.13 TRUE FALSE FALSE FALSE FALSE TRUE 6 109 NA
"110" "NC_044048.1" 1 23306606 23492252 23.31 TRUE FALSE FALSE FALSE FALSE TRUE 6 110 NA
"111" "NC_044048.1" 1 23492253 23656661 23.49 TRUE FALSE FALSE FALSE FALSE TRUE 6 111 NA
"112" "NC_044048.1" 1 23656662 23795021 23.66 TRUE FALSE FALSE FALSE FALSE TRUE 6 112 NA
"113" "NC_044048.1" 1 23795022 23962033 23.8 TRUE FALSE FALSE FALSE FALSE TRUE 6 113 NA
"114" "NC_044048.1" 1 23962034 24108476 23.96 TRUE FALSE FALSE FALSE FALSE TRUE 6 114 NA
"115" "NC_044048.1" 1 24108477 24247602 24.11 TRUE FALSE FALSE FALSE FALSE TRUE 6 115 NA
"116" "NC_044048.1" 1 24247603 24413007 24.25 TRUE FALSE FALSE FALSE FALSE TRUE 6 116 NA
"117" "NC_044048.1" 1 24413008 24571873 24.41 TRUE FALSE FALSE FALSE FALSE TRUE 6 117 NA
"118" "NC_044048.1" 1 24571874 24743196 24.57 TRUE FALSE FALSE FALSE FALSE TRUE 6 118 NA
"119" "NC_044048.1" 1 24743197 24904353 24.74 TRUE FALSE FALSE FALSE FALSE TRUE 6 119 NA
"120" "NC_044048.1" 1 24904354 25031177 24.9 TRUE FALSE FALSE FALSE FALSE TRUE 6 120 NA
"121" "NC_044048.1" 1 25031178 25179712 25.03 TRUE FALSE FALSE FALSE FALSE TRUE 6 121 NA
"122" "NC_044048.1" 1 25179713 25348134 25.18 TRUE FALSE FALSE FALSE FALSE TRUE 6 122 NA
"123" "NC_044048.1" 1 25348135 25501482 25.35 TRUE FALSE FALSE FALSE FALSE TRUE 6 123 NA
"124" "NC_044048.1" 1 25501483 25803109 25.5 TRUE FALSE FALSE FALSE FALSE TRUE 6 124 NA
"125" "NC_044048.1" 1 25803110 25983882 25.8 TRUE FALSE FALSE FALSE FALSE TRUE 6 125 NA
"126" "NC_044048.1" 1 25983883 26167232 25.98 TRUE FALSE FALSE FALSE FALSE TRUE 6 126 NA
"127" "NC_044048.1" 1 26167233 26495531 26.17 TRUE FALSE FALSE FALSE FALSE TRUE 6 127 NA
"128" "NC_044048.1" 1 26495532 26673043 26.5 TRUE FALSE FALSE FALSE FALSE TRUE 6 128 NA
"129" "NC_044048.1" 1 26673044 26861951 26.67 TRUE FALSE FALSE FALSE FALSE TRUE 6 129 NA
"130" "NC_044048.1" 1 26861952 27042007 26.86 TRUE FALSE FALSE FALSE FALSE TRUE 6 130 NA
"131" "NC_044048.1" 1 27042008 27198353 27.04 TRUE FALSE FALSE FALSE FALSE TRUE 6 131 NA
"132" "NC_044048.1" 1 27198354 27337619 27.2 TRUE FALSE FALSE FALSE FALSE TRUE 6 132 NA
"133" "NC_044048.1" 1 27337620 27494283 27.34 TRUE FALSE FALSE FALSE FALSE TRUE 6 133 NA
"134" "NC_044048.1" 1 27494284 27713616 27.49 TRUE FALSE FALSE FALSE FALSE TRUE 6 134 NA
"135" "NC_044048.1" 1 27713617 27906481 27.71 TRUE FALSE FALSE FALSE FALSE TRUE 6 135 NA
"136" "NC_044048.1" 1 27906482 28104354 27.91 TRUE FALSE FALSE FALSE FALSE TRUE 6 136 NA
"137" "NC_044048.1" 1 28104355 28263587 28.1 TRUE FALSE FALSE FALSE FALSE TRUE 6 137 NA
"138" "NC_044048.1" 1 28263588 28569910 28.26 TRUE FALSE FALSE FALSE FALSE TRUE 6 138 NA
"139" "NC_044048.1" 1 28569911 28828695 28.57 FALSE TRUE FALSE FALSE FALSE TRUE 6 139 NA
"140" "NC_044048.1" 1 28828696 28973335 28.83 FALSE FALSE FALSE FALSE FALSE FALSE NA 140 NA
"141" "NC_044048.1" 1 28973336 29555531 28.97 FALSE FALSE FALSE FALSE FALSE FALSE NA 141 NA
"142" "NC_044048.1" 1 29555532 29904408 29.56 TRUE TRUE FALSE FALSE FALSE TRUE 7 142 7
"143" "NC_044048.1" 1 29904409 30346282 29.9 FALSE TRUE FALSE FALSE FALSE TRUE 7 143 NA
"144" "NC_044048.1" 1 30346283 30553975 30.35 FALSE FALSE FALSE FALSE FALSE FALSE NA 144 NA
"145" "NC_044049.1" 2 884 241371 0 FALSE TRUE FALSE FALSE FALSE TRUE 8 1 8
"146" "NC_044049.1" 2 241372 436763 0.24 FALSE FALSE FALSE FALSE FALSE FALSE NA 2 NA
"147" "NC_044049.1" 2 436764 556096 0.44 TRUE FALSE FALSE FALSE FALSE TRUE 9 3 NA
"148" "NC_044049.1" 2 556097 674537 0.56 TRUE FALSE FALSE FALSE FALSE TRUE 9 4 NA
"149" "NC_044049.1" 2 674538 812156 0.67 TRUE FALSE FALSE FALSE FALSE TRUE 9 5 NA
"150" "NC_044049.1" 2 812157 955695 0.81 TRUE FALSE FALSE FALSE FALSE TRUE 9 6 NA
"151" "NC_044049.1" 2 955696 1130281 0.96 TRUE FALSE FALSE FALSE FALSE TRUE 9 7 NA
"152" "NC_044049.1" 2 1130282 1253105 1.13 TRUE FALSE FALSE FALSE FALSE TRUE 9 8 NA
"153" "NC_044049.1" 2 1253106 1402290 1.25 TRUE FALSE FALSE FALSE FALSE TRUE 9 9 NA
"154" "NC_044049.1" 2 1402291 1713788 1.4 TRUE FALSE FALSE FALSE FALSE TRUE 9 10 NA
"155" "NC_044049.1" 2 1713789 1847287 1.71 TRUE FALSE FALSE FALSE FALSE TRUE 9 11 NA
"156" "NC_044049.1" 2 1847288 1988131 1.85 TRUE FALSE FALSE FALSE FALSE TRUE 9 12 NA
"157" "NC_044049.1" 2 1988132 2110600 1.99 TRUE FALSE FALSE FALSE FALSE TRUE 9 13 NA
"158" "NC_044049.1" 2 2110601 2245514 2.11 TRUE FALSE FALSE FALSE FALSE TRUE 9 14 NA
"159" "NC_044049.1" 2 2245515 2420151 2.25 TRUE FALSE FALSE FALSE FALSE TRUE 9 15 NA
"160" "NC_044049.1" 2 2420152 2622149 2.42 TRUE FALSE FALSE FALSE FALSE TRUE 9 16 9
"161" "NC_044049.1" 2 2622150 2735719 2.62 TRUE FALSE FALSE FALSE FALSE TRUE 9 17 NA
"162" "NC_044049.1" 2 2735720 2850338 2.74 TRUE FALSE FALSE FALSE FALSE TRUE 9 18 NA
"163" "NC_044049.1" 2 2850339 2967831 2.85 TRUE FALSE FALSE FALSE FALSE TRUE 9 19 NA
"164" "NC_044049.1" 2 2967832 3086809 2.97 TRUE FALSE FALSE FALSE FALSE TRUE 9 20 NA
"165" "NC_044049.1" 2 3086810 3195575 3.09 TRUE FALSE FALSE FALSE FALSE TRUE 9 21 NA
"166" "NC_044049.1" 2 3195576 3342381 3.2 TRUE FALSE FALSE FALSE FALSE TRUE 9 22 NA
"167" "NC_044049.1" 2 3342382 3499582 3.34 TRUE FALSE FALSE FALSE FALSE TRUE 9 23 NA
"168" "NC_044049.1" 2 3499583 3644864 3.5 TRUE FALSE FALSE FALSE FALSE TRUE 9 24 NA
"169" "NC_044049.1" 2 3644865 3792942 3.64 TRUE FALSE FALSE FALSE FALSE TRUE 9 25 NA
"170" "NC_044049.1" 2 3792943 3937532 3.79 TRUE FALSE FALSE FALSE FALSE TRUE 9 26 NA
"171" "NC_044049.1" 2 3937533 4040704 3.94 TRUE FALSE FALSE FALSE FALSE TRUE 9 27 NA
"172" "NC_044049.1" 2 4040705 4199972 4.04 TRUE FALSE FALSE FALSE FALSE TRUE 9 28 NA
"173" "NC_044049.1" 2 4199973 4342007 4.2 TRUE FALSE FALSE FALSE FALSE TRUE 9 29 NA
"174" "NC_044049.1" 2 4342008 4475015 4.34 TRUE FALSE FALSE FALSE FALSE TRUE 9 30 NA
"175" "NC_044049.1" 2 4475016 4749354 4.48 FALSE FALSE FALSE FALSE FALSE FALSE NA 31 NA
"176" "NC_044049.1" 2 4749355 5084438 4.75 FALSE TRUE FALSE FALSE FALSE TRUE 10 32 10
"177" "NC_044049.1" 2 5084439 5389888 5.08 FALSE FALSE FALSE FALSE FALSE FALSE NA 33 NA
"178" "NC_044049.1" 2 5389889 5769248 5.39 FALSE FALSE FALSE FALSE FALSE FALSE NA 34 NA
"179" "NC_044049.1" 2 5769249 5972170 5.77 FALSE FALSE FALSE FALSE FALSE FALSE NA 35 NA
"180" "NC_044049.1" 2 5972171 6212940 5.97 FALSE FALSE FALSE FALSE FALSE FALSE NA 36 NA
"181" "NC_044049.1" 2 6212941 6692211 6.21 FALSE TRUE FALSE FALSE FALSE TRUE 11 37 11
"182" "NC_044049.1" 2 6692212 6873211 6.69 FALSE FALSE FALSE FALSE FALSE FALSE NA 38 NA
"183" "NC_044049.1" 2 6873212 7127718 6.87 FALSE FALSE FALSE FALSE FALSE FALSE NA 39 NA
"184" "NC_044049.1" 2 7127719 7270083 7.13 FALSE FALSE FALSE FALSE FALSE FALSE NA 40 NA
"185" "NC_044049.1" 2 7270084 7478695 7.27 FALSE FALSE FALSE FALSE FALSE FALSE NA 41 NA
"186" "NC_044049.1" 2 7478696 7744438 7.48 FALSE FALSE FALSE FALSE FALSE FALSE NA 42 NA
"187" "NC_044049.1" 2 7744439 8016419 7.74 FALSE TRUE FALSE FALSE FALSE TRUE 12 43 12
"188" "NC_044049.1" 2 8016420 8317067 8.02 FALSE TRUE FALSE FALSE FALSE TRUE 12 44 NA
"189" "NC_044049.1" 2 8317068 8553435 8.32 FALSE FALSE FALSE FALSE FALSE FALSE NA 45 NA
"190" "NC_044049.1" 2 8553436 8750099 8.55 FALSE FALSE FALSE FALSE FALSE FALSE NA 46 NA
"191" "NC_044049.1" 2 8750100 8980487 8.75 FALSE TRUE FALSE FALSE FALSE TRUE 13 47 13
"192" "NC_044049.1" 2 8980488 9237022 8.98 FALSE TRUE FALSE FALSE FALSE TRUE 13 48 NA
"193" "NC_044049.1" 2 9237023 9429103 9.24 FALSE FALSE FALSE FALSE FALSE FALSE NA 49 NA
"194" "NC_044049.1" 2 9429104 9629249 9.43 FALSE FALSE FALSE FALSE FALSE FALSE NA 50 NA
"195" "NC_044049.1" 2 9629250 9835957 9.63 FALSE TRUE FALSE FALSE FALSE TRUE 14 51 14
"196" "NC_044049.1" 2 9835958 10124893 9.84 FALSE FALSE FALSE FALSE FALSE FALSE NA 52 NA
"197" "NC_044049.1" 2 10124894 10376200 10.12 FALSE FALSE FALSE FALSE FALSE FALSE NA 53 NA
"198" "NC_044049.1" 2 10376201 10572528 10.38 FALSE FALSE FALSE FALSE FALSE FALSE NA 54 NA
"199" "NC_044049.1" 2 10572529 10788331 10.57 FALSE FALSE FALSE FALSE FALSE FALSE NA 55 NA
"200" "NC_044049.1" 2 10788332 10914680 10.79 FALSE FALSE FALSE FALSE FALSE FALSE NA 56 NA
"201" "NC_044049.1" 2 10914681 11232525 10.91 FALSE FALSE FALSE FALSE FALSE FALSE NA 57 NA
"202" "NC_044049.1" 2 11232526 11398845 11.23 FALSE FALSE FALSE FALSE FALSE FALSE NA 58 NA
"203" "NC_044049.1" 2 11398846 11599127 11.4 FALSE FALSE FALSE FALSE FALSE FALSE NA 59 NA
"204" "NC_044049.1" 2 11599128 12503403 11.6 FALSE FALSE FALSE FALSE FALSE FALSE NA 60 NA
"205" "NC_044049.1" 2 12503404 12673130 12.5 FALSE FALSE FALSE FALSE FALSE FALSE NA 61 NA
"206" "NC_044049.1" 2 12673131 12908871 12.67 FALSE FALSE FALSE FALSE FALSE FALSE NA 62 NA
"207" "NC_044049.1" 2 12908872 13158832 12.91 FALSE FALSE FALSE FALSE FALSE FALSE NA 63 NA
"208" "NC_044049.1" 2 13158833 13337105 13.16 FALSE FALSE FALSE FALSE FALSE FALSE NA 64 NA
"209" "NC_044049.1" 2 13337106 13599884 13.34 FALSE FALSE FALSE FALSE FALSE FALSE NA 65 NA
"210" "NC_044049.1" 2 13599885 13782052 13.6 FALSE FALSE FALSE FALSE FALSE FALSE NA 66 NA
"211" "NC_044049.1" 2 13782053 13959183 13.78 FALSE FALSE FALSE FALSE FALSE FALSE NA 67 NA
"212" "NC_044049.1" 2 13959184 14139363 13.96 FALSE FALSE FALSE FALSE FALSE FALSE NA 68 NA
"213" "NC_044049.1" 2 14139364 14342967 14.14 FALSE FALSE FALSE FALSE FALSE FALSE NA 69 NA
"214" "NC_044049.1" 2 14342968 14833795 14.34 FALSE FALSE FALSE FALSE FALSE FALSE NA 70 NA
"215" "NC_044049.1" 2 14833796 15278066 14.83 FALSE FALSE FALSE FALSE FALSE FALSE NA 71 NA
"216" "NC_044049.1" 2 15278067 15508400 15.28 FALSE FALSE FALSE FALSE FALSE FALSE NA 72 NA
"217" "NC_044049.1" 2 15508401 15678471 15.51 FALSE FALSE FALSE FALSE FALSE FALSE NA 73 NA
"218" "NC_044049.1" 2 15678472 15926732 15.68 FALSE FALSE FALSE FALSE FALSE FALSE NA 74 NA
"219" "NC_044049.1" 2 15926733 16145662 15.93 FALSE FALSE FALSE FALSE FALSE FALSE NA 75 NA
"220" "NC_044049.1" 2 16145663 16465393 16.15 FALSE FALSE FALSE FALSE FALSE FALSE NA 76 NA
"221" "NC_044049.1" 2 16465394 16817595 16.47 FALSE FALSE FALSE FALSE FALSE FALSE NA 77 NA
"222" "NC_044049.1" 2 16817596 17107524 16.82 FALSE FALSE FALSE FALSE FALSE FALSE NA 78 NA
"223" "NC_044049.1" 2 17107525 17549600 17.11 FALSE FALSE FALSE FALSE FALSE FALSE NA 79 NA
"224" "NC_044049.1" 2 17549601 18028065 17.55 FALSE FALSE TRUE FALSE FALSE TRUE 15 80 NA
"225" "NC_044049.1" 2 18028066 18487800 18.03 FALSE FALSE TRUE TRUE FALSE TRUE 15 81 NA
"226" "NC_044049.1" 2 18487801 19053751 18.49 FALSE FALSE TRUE FALSE FALSE TRUE 15 82 NA
"227" "NC_044049.1" 2 19053752 19549891 19.05 FALSE FALSE TRUE FALSE FALSE TRUE 15 83 15
"228" "NC_044049.1" 2 19549892 20230747 19.55 FALSE FALSE TRUE FALSE FALSE TRUE 15 84 NA
"229" "NC_044049.1" 2 20230748 20538334 20.23 FALSE FALSE FALSE TRUE FALSE TRUE 15 85 NA
"230" "NC_044049.1" 2 20538335 20733865 20.54 FALSE FALSE FALSE TRUE FALSE TRUE 15 86 NA
"231" "NC_044049.1" 2 20733866 21037589 20.73 FALSE FALSE FALSE FALSE FALSE FALSE NA 87 NA
"232" "NC_044049.1" 2 21037590 21356558 21.04 FALSE FALSE FALSE FALSE FALSE FALSE NA 88 NA
"233" "NC_044049.1" 2 21356559 21630056 21.36 FALSE FALSE FALSE FALSE FALSE FALSE NA 89 NA
