"","chrom","ConsensusID","n_calls_group","n_programs_group","n_PASS_group","n_ind_group","start_plus_CI_group","start_minus_CI_group","end_plus_CI_group","end_minus_CI_group","pass"
"291","NC_044048.1",291,2,1,0,2,5544330,5542256,5575361,5573287,FALSE
"292","NC_044048.1",292,9,3,1,7,5561969,5524623,6483704,6408181,FALSE
"293","NC_044048.1",293,5,2,1,5,5573924,5512678,7084410,6970089,FALSE
"294","NC_044048.1",294,22,3,0,18,5603305,5483269,8584492,8249299,FALSE
"295","NC_044048.1",295,17,3,0,16,5611140,5475462,8986142,8585242,FALSE
"296","NC_044048.1",296,2,2,0,2,5547518,5538884,5749258,5740624,FALSE
"297","NC_044048.1",297,8,3,0,5,5553263,5533333,6032588,6006275,FALSE
"298","NC_044048.1",298,5,3,1,4,5557368,5529224,6248644,6213976,FALSE
"299","NC_044048.1",299,1,1,0,1,5548918,5537660,5812879,5801621,FALSE
"300","NC_044048.1",300,1,1,0,1,5545680,5540906,5648116,5643342,FALSE
"301","NC_044048.1",301,3,2,0,3,5564181,5522405,6592189,6525183,FALSE
"302","NC_044048.1",302,6,3,0,5,5551578,5535008,5952880,5924560,FALSE
"303","NC_044048.1",303,5,2,0,5,5546084,5540534,5669170,5663620,FALSE
"304","NC_044048.1",304,2,2,0,2,5546439,5540153,5689363,5683077,FALSE
"305","NC_044048.1",305,1,1,0,1,5571184,5515254,6969414,6913484,FALSE
"306","NC_044048.1",306,2,2,0,1,5547776,5538679,5775163,5766066,FALSE
"307","NC_044048.1",307,347,2,0,190,5543824,5543276,5543834,5543289,FALSE
"308","NC_044048.1",308,1,1,0,1,5544233,5542605,5578837,5577219,FALSE
"309","NC_044048.1",309,2,2,1,1,5556090,5555290,5559366,5558566,FALSE
"310","NC_044048.1",310,152,3,33,111,5599166,5597919,5601949,5600602,TRUE
"311","NC_044048.1",311,2,2,0,1,5599305,5599257,5600522,5600474,FALSE
"312","NC_044048.1",312,33,3,4,11,5698085,5697025,5700861,5699760,FALSE
"313","NC_044048.1",313,1,1,0,1,5701997,5700930,5728636,5727569,FALSE
"314","NC_044048.1",314,2,1,0,2,5736897,5736889,5737029,5737021,FALSE
"315","NC_044048.1",315,1,1,0,1,5861294,5708615,9678104,9525425,FALSE
"316","NC_044048.1",316,1,1,0,1,5785395,5785385,5785647,5785637,FALSE
"317","NC_044048.1",317,1,1,0,1,5841143,5840087,5848137,5847081,FALSE
"318","NC_044048.1",318,2,2,0,1,5859297,5859291,5859453,5859447,FALSE
"319","NC_044048.1",319,2,2,0,1,5990035,5798837,10770001,10578803,FALSE
"320","NC_044048.1",320,1,1,0,1,5924879,5911793,6242741,6229655,FALSE
"321","NC_044048.1",321,2,1,1,2,6042116,5815559,11705736,11479190,FALSE
"322","NC_044048.1",322,1,1,0,1,6025463,5913326,8828801,8716664,FALSE
"323","NC_044048.1",323,187,3,7,117,6552090,5342836,26172910,24818905,TRUE
"324","NC_044048.1",324,1,1,0,1,6011671,6011665,6011785,6011779,FALSE
"325","NC_044048.1",325,2,1,0,2,6029368,6028292,6035077,6033830,FALSE
"326","NC_044048.1",326,22,3,0,13,6731376,5830889,20314008,19257933,FALSE
"327","NC_044048.1",327,1,1,0,1,6286761,5885845,24488040,24087124,FALSE
"328","NC_044048.1",328,1,1,0,1,6086364,6085332,6112055,6111023,FALSE
"329","NC_044048.1",329,1,1,0,1,6238282,6000595,12179344,11941657,FALSE
"330","NC_044048.1",330,2,1,0,2,6121870,6121009,6127405,6126545,FALSE
