"","InversionID","Chrom","windowID_StartBreakpoint","window_StartLowerCI","window_StartUpperCI","windowID_EndBreakpoint","window_EndLowerCI","window_EndUpperCI","SVType","n_ind_startWindows","n_ind_endWindows","n_ind_invID","n_method_startWindows","n_method_endWindows","invSizeMax","invSizeMin"
"78","1088-973","NC_044049.1","1088",8705635,8716142,"973",8710092,8731268,"INV",31,33,31,3,3,25633,-6050
"79","10899-10840","NC_044062.1","10899",22813362,22831080,"10840",26377144,26391411,"INV",84,83,82,3,3,3578049,3546064
"80","10914-10761","NC_044062.1","10914",23488218,23501569,"10761",23491719,23502280,"INV",23,23,23,3,3,14062,-9850
"81","10920-10814","NC_044062.1","10920",23805886,23819445,"10814",25454321,25478062,"INV",144,152,144,3,3,1672176,1634876
"82","10922-10776","NC_044062.1","10922",23896914,23907257,"10776",23948775,23973970,"INV",25,27,25,3,3,77056,41518
"83","10936-10791","NC_044062.1","10936",24523897,24534383,"10791",24524245,24534503,"INV",207,207,207,3,3,10606,-10138
"84","10941-10799","NC_044062.1","10941",24973642,24984274,"10799",24967632,24984724,"INV",59,59,59,3,3,11082,-16642
"85","10948-10814","NC_044062.1","10948",25411774,25430215,"10814",25454321,25478062,"INV",32,152,20,3,3,66288,24106
"86","10951-10815","NC_044062.1","10951",25514634,25527165,"10815",25516841,25527626,"INV",47,46,46,3,3,12992,-10324
"87","10959-10822","NC_044062.1","10959",25762932,25782466,"10822",25763105,25786356,"INV",257,257,257,3,3,23424,-19361
"88","10962-10825","NC_044062.1","10962",25857975,25868537,"10825",25862198,25872954,"INV",19,19,19,3,3,14979,-6339
"89","10978-10860","NC_044062.1","10978",27148880,27159321,"10860",27149270,27167260,"INV",18,19,18,3,3,18380,-10051
"90","10983-10888","NC_044062.1","10983",27594419,27604870,"10888",28572045,28583376,"INV",33,34,33,3,3,988957,967175
"91","10987-10879","NC_044062.1","10987",28023980,28034860,"10879",28026171,28050100,"INV",67,97,67,3,3,26120,-8689
"92","11005-11580","NC_044063.1","11005",436175,449596,"11580",27344840,27355823,"INV",59,57,57,3,3,26919648,26895244
"93","11021-10901","NC_044063.1","11021",1280109,1302646,"10901",1305807,1327332,"INV",23,60,21,3,3,47223,3161
"94","11022-10901","NC_044063.1","11022",1307391,1319860,"10901",1305807,1327332,"INV",41,60,40,3,3,19941,-14053
"95","11025-11765","NC_044063.1","11025",1437940,1457534,"11765",33912174,33922605,"INV",45,41,41,3,3,32484665,32454640
"96","11033-10914","NC_044063.1","11033",1997165,2017065,"10914",2319717,2330768,"INV",207,206,206,3,3,333603,302652
"97","11048-10923","NC_044063.1","11048",2375411,2407063,"10923",2763716,2793871,"INV",238,259,223,3,3,418460,356653
"98","11048-10925","NC_044063.1","11048",2375411,2407063,"10925",2891184,2920722,"INV",238,198,72,3,3,545311,484121
"99","11049-10917","NC_044063.1","11049",2407554,2584018,"10917",2478627,2488933,"INV",295,96,96,3,3,81379,-105391
"100","11049-10919","NC_044063.1","11049",2407554,2584018,"10919",2596901,2607394,"INV",295,27,27,3,3,199840,12883
"101","11049-10922","NC_044063.1","11049",2407554,2584018,"10922",2694802,2756296,"INV",295,291,284,3,3,348742,110784
"102","11049-10923","NC_044063.1","11049",2407554,2584018,"10923",2763716,2793871,"INV",295,259,188,3,3,386317,179698
"103","11049-10925","NC_044063.1","11049",2407554,2584018,"10925",2891184,2920722,"INV",295,198,157,3,3,513168,307166
"104","11049-10926","NC_044063.1","11049",2407554,2584018,"10926",2923919,2946290,"INV",295,37,37,3,3,538736,339901
"105","11049-10932","NC_044063.1","11049",2407554,2584018,"10932",3111240,3139246,"INV",295,26,25,3,3,731692,527222
"106","11049-10934","NC_044063.1","11049",2407554,2584018,"10934",3153937,3194994,"INV",295,79,78,3,3,787440,569919
"107","11049-10936","NC_044063.1","11049",2407554,2584018,"10936",3206633,3243291,"INV",295,136,25,3,3,835737,622615
"108","11049-10937","NC_044063.1","11049",2407554,2584018,"10937",3243649,3311040,"INV",295,292,276,3,3,903486,659631
"109","11049-10939","NC_044063.1","11049",2407554,2584018,"10939",3410078,3456132,"INV",295,293,286,3,3,1048578,826060
"110","11049-10940","NC_044063.1","11049",2407554,2584018,"10940",3480709,3513395,"INV",295,121,80,3,3,1105841,896691
"111","11050-10922","NC_044063.1","11050",2585989,2608159,"10922",2694802,2756296,"INV",290,291,134,3,3,170307,86643
"112","11050-10928","NC_044063.1","11050",2585989,2608159,"10928",2994443,3023017,"INV",290,42,39,3,3,437028,386284
"113","11050-10936","NC_044063.1","11050",2585989,2608159,"10936",3206633,3243291,"INV",290,136,124,3,3,657302,598474
"114","11050-10937","NC_044063.1","11050",2585989,2608159,"10937",3243649,3311040,"INV",290,292,284,3,3,725051,635490
"115","11050-10939","NC_044063.1","11050",2585989,2608159,"10939",3410078,3456132,"INV",290,293,47,3,3,870143,801919
"116","11050-11663","NC_044063.1","11050",2585989,2608159,"11663",30703832,30731320,"INV",290,55,20,3,3,28145331,28095673
"117","11051-10922","NC_044063.1","11051",2609954,2652408,"10922",2694802,2756296,"INV",294,291,235,3,3,146342,42394
"118","11051-10923","NC_044063.1","11051",2609954,2652408,"10923",2763716,2793871,"INV",294,259,55,3,3,183917,111308
"119","11051-10925","NC_044063.1","11051",2609954,2652408,"10925",2891184,2920722,"INV",294,198,21,3,3,310768,238776
"120","11051-10937","NC_044063.1","11051",2609954,2652408,"10937",3243649,3311040,"INV",294,292,199,3,3,701086,591241
"121","11051-10939","NC_044063.1","11051",2609954,2652408,"10939",3410078,3456132,"INV",294,293,286,3,3,846178,757670
"122","11055-11239","NC_044063.1","11055",2776341,2808215,"11239",16401871,16412328,"INV",33,19,19,3,3,13635987,13593656
"123","11059-10939","NC_044063.1","11059",2957843,2985154,"10939",3410078,3456132,"INV",64,293,51,3,3,498289,424924
"124","11062-10939","NC_044063.1","11062",3044813,3059794,"10939",3410078,3456132,"INV",117,293,115,3,3,411319,350284
"125","11067-10940","NC_044063.1","11067",3183738,3203940,"10940",3480709,3513395,"INV",61,121,58,3,3,329657,276769
"126","11069-11170","NC_044063.1","11069",3294646,3311101,"11170",13924536,13935970,"INV",48,47,46,3,3,10641324,10613435
"127","11071-10939","NC_044063.1","11071",3414564,3436617,"10939",3410078,3456132,"INV",95,293,77,3,3,41568,-26539
"128","11071-11181","NC_044063.1","11071",3414564,3436617,"11181",14217789,14230818,"INV",95,175,21,3,3,10816254,10781172
"129","11073-11181","NC_044063.1","11073",3483412,3516332,"11181",14217789,14230818,"INV",183,175,170,3,3,10747406,10701457
"130","11080-10945","NC_044063.1","11080",3650737,3669964,"10945",3654955,3671724,"INV",50,49,49,3,3,20987,-15009
"131","11082-10947","NC_044063.1","11082",3729633,3769042,"10947",3754023,3769336,"INV",121,116,116,3,3,39703,-15019
"132","111-85","NC_044048.1","111",4021729,4138212,"85",5537782,5548691,"INV",56,239,18,3,3,1526962,1399570
"133","11104-11480","NC_044063.1","11104",4672582,4712217,"11480",24190171,24211220,"INV",48,36,35,3,3,19538638,19477954
"134","11111-10968","NC_044063.1","11111",4981308,4996575,"10968",4981321,4996980,"INV",255,255,255,3,3,15672,-15254
"135","11249-11065","NC_044063.1","11249",9340821,9370227,"11065",9343704,9361506,"INV",20,19,18,3,3,20685,-26523
"136","11252-11069","NC_044063.1","11252",9431665,9458107,"11069",9458942,9473092,"INV",248,247,247,3,3,41427,835
"137","1128-1013","NC_044049.1","1128",10556164,10567743,"1013",10560511,10587092,"INV",54,58,54,3,3,30928,-7232
"138","11299-11091","NC_044063.1","11299",10787705,10809794,"11091",10793773,10824545,"INV",59,48,48,3,3,36840,-16021
"139","11317-11102","NC_044063.1","11317",11282487,11296410,"11102",11282595,11296656,"INV",99,100,99,3,3,14169,-13815
"140","11325-11725","NC_044063.1","11325",11487275,11502314,"11725",32654459,32665076,"INV",47,43,43,3,3,21177801,21152145
"141","11359-11140","NC_044063.1","11359",12923652,12955984,"11140",12924286,12956015,"INV",81,80,80,3,3,32363,-31698
"142","1136-1023","NC_044049.1","1136",10844430,10883185,"1023",10870149,10925363,"INV",148,94,93,3,3,80933,-13036
"143","1136-1024","NC_044049.1","1136",10844430,10883185,"1024",10931743,10947464,"INV",148,97,44,3,3,103034,48558
"144","1136-1026","NC_044049.1","1136",10844430,10883185,"1026",10963936,10990364,"INV",148,76,76,3,3,145934,80751
"145","11370-11151","NC_044063.1","11370",13391058,13401921,"11151",13386320,13409214,"INV",108,110,108,3,3,18156,-15601
"146","11458-11238","NC_044063.1","11458",16339258,16350714,"11238",16358547,16369026,"INV",184,184,184,3,3,29768,7833
"147","11500-11285","NC_044063.1","11500",18027551,18041209,"11285",18031769,18044790,"INV",171,171,171,3,3,17239,-9440
"148","11522-11312","NC_044063.1","11522",18668152,18709636,"11312",18707961,18726552,"INV",42,34,31,3,3,58400,-1675
"149","11538-11329","NC_044063.1","11538",19159484,19170440,"11329",19161426,19172288,"INV",117,117,117,3,3,12804,-9014
"150","11556-11347","NC_044063.1","11556",19707745,19725544,"11347",19708061,19718533,"INV",64,63,63,3,3,10788,-17483
"151","11558-11349","NC_044063.1","11558",19759723,19772271,"11349",19762328,19783252,"INV",158,158,158,3,3,23529,-9943
"152","11590-11382","NC_044063.1","11590",21023581,21033839,"11382",21062736,21073014,"INV",93,93,93,3,3,49433,28897
"153","11595-11385","NC_044063.1","11595",21173684,21192053,"11385",21174127,21187154,"INV",51,53,50,3,3,13470,-17926
"154","11601-11394","NC_044063.1","11601",21461257,21479873,"11394",21462952,21480554,"INV",248,248,247,3,3,19297,-16921
"155","11603-11607","NC_044063.1","11603",21525356,21535899,"11607",28949886,28964384,"INV",60,37,33,3,3,7439028,7413987
"156","11603-11734","NC_044063.1","11603",21525356,21535899,"11734",33042734,33059791,"INV",60,33,31,3,3,11534435,11506835
"157","1161-1047","NC_044049.1","1161",12091500,12113071,"1047",12089558,12109899,"INV",24,22,20,3,3,18399,-23513
"158","11627-11440","NC_044063.1","11627",22458144,22516705,"11440",22910147,23001985,"INV",253,233,233,3,3,543841,393442
"159","11627-11441","NC_044063.1","11627",22458144,22516705,"11441",23079048,23102408,"INV",253,52,50,3,3,644264,562343
"160","11627-11442","NC_044063.1","11627",22458144,22516705,"11442",23103435,23141919,"INV",253,103,101,3,3,683775,586730
"161","11630-11438","NC_044063.1","11630",22575362,22604628,"11438",22866689,22896246,"INV",42,28,19,3,3,320884,262061
"162","11659-11678","NC_044063.1","11659",23854733,23870748,"11678",31141383,31160554,"INV",73,56,54,3,3,7305821,7270635
"163","11667-11476","NC_044063.1","11667",24021495,24042097,"11476",24062042,24083644,"INV",278,277,277,3,3,62149,19945
"164","11667-11764","NC_044063.1","11667",24021495,24042097,"11764",33901258,33911860,"INV",278,97,97,3,3,9890365,9859161
"165","11668-11663","NC_044063.1","11668",24059769,24084277,"11663",30703832,30731320,"INV",40,55,36,3,3,6671551,6619555
"166","11679-11490","NC_044063.1","11679",24453152,24467652,"11490",24453381,24468698,"INV",19,19,19,3,3,15546,-14271
"167","11680-11492","NC_044063.1","11680",24489313,24499891,"11492",24492669,24505553,"INV",20,24,20,3,3,16240,-7222
"168","11687-11667","NC_044063.1","11687",24940798,24955558,"11667",30835043,30845746,"INV",38,43,29,3,3,5904948,5879485
"169","11687-11779","NC_044063.1","11687",24940798,24955558,"11779",34284932,34297957,"INV",38,23,18,3,3,9357159,9329374
"170","11691-11626","NC_044063.1","11691",25120318,25133963,"11626",29640131,29683327,"INV",28,37,27,3,3,4563009,4506168
"171","11706-11567","NC_044063.1","11706",25573586,25608576,"11567",26786273,26814222,"INV",56,69,52,3,3,1240636,1177697
"172","11708-11673","NC_044063.1","11708",25682199,25697906,"11673",30976893,30991502,"INV",176,177,176,3,3,5309303,5278987
"173","11735-11575","NC_044063.1","11735",27052605,27063343,"11575",27099701,27120947,"INV",36,46,36,3,3,68342,36358
"174","11736-11576","NC_044063.1","11736",27176674,27187136,"11576",27172153,27191859,"INV",15,16,15,3,3,15185,-14983
"175","11754-11657","NC_044063.1","11754",28652345,28663385,"11657",30551842,30563931,"INV",66,68,66,3,3,1911586,1888457
"176","11762-11694","NC_044063.1","11762",29149932,29160458,"11694",31736318,31756272,"INV",39,41,39,3,3,2606340,2575860
"177","11767-11621","NC_044063.1","11767",29434673,29445195,"11621",29442120,29452562,"INV",32,32,32,3,3,17889,-3075
"178","11777-11637","NC_044063.1","11777",29962899,29973872,"11637",29970077,30005037,"INV",167,168,167,3,3,42138,-3795
"179","11781-11745","NC_044063.1","11781",30077483,30108308,"11745",33372019,33386716,"INV",56,64,46,3,3,3309233,3263711
"180","11784-11646","NC_044063.1","11784",30230313,30245883,"11646",30223905,30245969,"INV",32,33,32,3,3,15656,-21978
"181","11791-11655","NC_044063.1","11791",30509441,30526850,"11655",30516100,30535939,"INV",55,58,53,3,3,26498,-10750
"182","11795-11665","NC_044063.1","11795",30765497,30779466,"11665",30766020,30779503,"INV",21,22,21,3,3,14006,-13446
"183","11801-11693","NC_044063.1","11801",31124301,31137921,"11693",31721500,31731934,"INV",67,58,58,3,3,607633,583579
"184","11804-11763","NC_044063.1","11804",31187075,31197636,"11763",33856676,33879876,"INV",62,68,62,3,3,2692801,2659040
"185","11810-11683","NC_044063.1","11810",31365340,31379492,"11683",31365643,31387872,"INV",29,31,29,3,3,22532,-13849
"186","11815-11689","NC_044063.1","11815",31549730,31560082,"11689",31551211,31563442,"INV",19,19,19,3,3,13712,-8871
"187","11826-11701","NC_044063.1","11826",31948184,31959372,"11701",31949432,31959997,"INV",96,96,96,3,3,11813,-9940
"188","11837-11744","NC_044063.1","11837",32305398,32329342,"11744",33329344,33339859,"INV",37,36,36,3,3,1034461,1000002
"189","11843-11726","NC_044063.1","11843",32672607,32705633,"11726",32684580,32710323,"INV",83,82,81,3,3,37716,-21053
"190","11847-11730","NC_044063.1","11847",32906294,32916737,"11730",32904299,32936343,"INV",145,148,145,3,3,30049,-12438
"191","1185-1117","NC_044049.1","1185",13140431,13164293,"1117",14851682,14863187,"INV",70,68,68,3,3,1722756,1687389
"192","11853-11739","NC_044063.1","11853",33198095,33208731,"11739",33198483,33209252,"INV",257,258,257,3,3,11157,-10248
"193","11854-11784","NC_044063.1","11854",33301290,33323047,"11784",34501340,34529182,"INV",39,37,34,3,3,1227892,1178293
"194","1186-1086","NC_044049.1","1186",13169733,13180759,"1086",13684423,13694904,"INV",281,281,281,3,3,525171,503664
"195","11876-12120","NC_044064.1","11876",214609,229557,"12120",12980460,12997246,"INV",52,160,31,3,3,12782637,12750903
"196","11883-11809","NC_044064.1","11883",408522,451344,"11809",1241699,1266966,"INV",116,75,63,3,3,858444,790355
"197","11883-12122","NC_044064.1","11883",408522,451344,"12122",13070850,13081317,"INV",116,63,63,3,3,12672795,12619506
"198","11887-11834","NC_044064.1","11887",546425,583404,"11834",2910213,2922371,"INV",174,46,39,3,3,2375946,2326809
"199","11887-11902","NC_044064.1","11887",546425,583404,"11902",5771854,5785805,"INV",174,250,148,3,3,5239380,5188450
"200","11911-11855","NC_044064.1","11911",1734459,1746844,"11855",3808820,3836091,"INV",29,50,19,3,3,2101632,2061976
"201","1193-1076","NC_044049.1","1193",13377168,13392696,"1076",13380897,13395443,"INV",52,52,51,3,3,18275,-11799
"202","11943-11837","NC_044064.1","11943",2910016,2923890,"11837",3160571,3174587,"INV",227,196,196,3,3,264571,236681
"203","11943-11894","NC_044064.1","11943",2910016,2923890,"11894",5496586,5511657,"INV",227,118,108,3,3,2601641,2572696
"204","11949-11858","NC_044064.1","11949",3141707,3153993,"11858",3879906,3927677,"INV",85,126,84,3,3,785970,725913
"205","11956-11840","NC_044064.1","11956",3292684,3313828,"11840",3294515,3313879,"INV",26,24,23,3,3,21195,-19313
"206","11957-11890","NC_044064.1","11957",3328331,3348741,"11890",5257435,5290212,"INV",61,60,58,3,3,1961881,1908694
"207","11958-11851","NC_044064.1","11958",3363417,3373816,"11851",3645773,3660615,"INV",35,36,35,3,3,297198,271957
"208","11973-11874","NC_044064.1","11973",3836661,3859905,"11874",4632091,4650107,"INV",73,74,73,3,3,813446,772186
"209","1198-1080","NC_044049.1","1198",13492331,13508827,"1080",13487198,13509637,"INV",68,68,68,3,3,17306,-21629
"210","11985-11869","NC_044064.1","11985",4323994,4347719,"11869",4345972,4356692,"INV",79,75,75,3,3,32698,-1747
"211","11988-11870","NC_044064.1","11988",4461840,4474413,"11870",4463363,4474814,"INV",179,179,179,3,3,12974,-11050
"212","11992-11872","NC_044064.1","11992",4567430,4586834,"11872",4565819,4578515,"INV",32,39,24,3,3,11085,-21015
"213","11996-11876","NC_044064.1","11996",4654779,4692600,"11876",4719952,4730486,"INV",45,41,41,3,3,75707,27352
"214","12006-11883","NC_044064.1","12006",4959942,4987489,"11883",4962614,4986443,"INV",62,58,57,3,3,26501,-24875
"215","12010-11886","NC_044064.1","12010",5035114,5050629,"11886",5076652,5097289,"INV",55,57,54,3,3,62175,26023
"216","12020-11902","NC_044064.1","12020",5354232,5372615,"11902",5771854,5785805,"INV",246,250,226,3,3,431573,399239
"217","12020-12120","NC_044064.1","12020",5354232,5372615,"12120",12980460,12997246,"INV",246,160,129,3,3,7643014,7607845
"218","12023-12084","NC_044064.1","12023",5495576,5525709,"12084",11825734,11855011,"INV",156,210,101,3,3,6359435,6300025
"219","12041-11917","NC_044064.1","12041",6168844,6218045,"11917",6296669,6323503,"INV",127,102,100,3,3,154659,78624
"220","12041-11918","NC_044064.1","12041",6168844,6218045,"11918",6325859,6338104,"INV",127,18,18,3,3,169260,107814
"221","12060-11928","NC_044064.1","12060",6873592,6909875,"11928",6894043,6908387,"INV",43,42,41,3,3,34795,-15832
"222","12073-11934","NC_044064.1","12073",7277390,7287991,"11934",7271701,7289846,"INV",59,59,59,3,3,12456,-16290
"223","12080-11952","NC_044064.1","12080",7464574,7487629,"11952",7902076,7912932,"INV",130,111,111,3,3,448358,414447
"224","12087-11947","NC_044064.1","12087",7704995,7743268,"11947",7731335,7747809,"INV",261,261,261,3,3,42814,-11933
"225","12094-12026","NC_044064.1","12094",7886091,7921138,"12026",10173798,10198240,"INV",279,278,278,3,3,2312149,2252660
"226","12107-11989","NC_044064.1","12107",8183538,8209603,"11989",8841409,8875971,"INV",168,100,17,3,3,692433,631806
